GPIO.004.061.1:CLKIN_IN.0 DCMUX.004.061.0011
GPIO.004.061.1:CLKIN_IN.1 DCMUX.004.061.0009
GPIO.004.061.1:CLKIN_OUT.0 DCMUX.004.061.0015
GPIO.004.061.1:CLKIN_OUT.1 DCMUX.004.061.0013
GPIO.004.061.2:DATAIN.0 GOUT.004.061.0014
GPIO.004.061.2:DATAIN.1 GOUT.004.061.0022
GPIO.004.061.2:DATAIN.2 GOUT.004.061.0015
GPIO.004.061.2:DATAIN.3 GOUT.004.061.0023
GPIO.004.061.2:DATAOUT.0 GIN.004.061.0008
GPIO.004.061.2:DATAOUT.1 GIN.004.061.0009
GPIO.004.061.2:DATAOUT.2 GIN.004.061.0010
GPIO.004.061.2:DATAOUT.3 GIN.004.061.0011
GPIO.004.061.2:DATAOUT.4 GIN.004.061.0012
GPIO.004.061.2:OEIN.0 GOUT.004.061.0016
GPIO.004.061.2:OEIN.1 GOUT.004.061.0024
GPIO.004.061.2:BSLIPMAX GIN.004.061.0007
GPIO.004.061.2:CEIN GOUT.004.061.0020
GPIO.004.061.2:CEOUT GOUT.004.061.0013
GPIO.004.061.2:ACLR GOUT.004.061.0021
GPIO.004.061.2:SCLR GOUT.004.061.0025
GPIO.004.061.2:CLKIN_IN.0 DCMUX.004.061.0005
GPIO.004.061.2:CLKIN_IN.1 DCMUX.004.061.0007
GPIO.004.061.2:CLKIN_OUT.0 DCMUX.004.061.0001
GPIO.004.061.2:CLKIN_OUT.1 DCMUX.004.061.0003
GPIO.004.061.3:DATAIN.0 GOUT.004.061.0003
GPIO.004.061.3:DATAIN.1 GOUT.004.061.0017
GPIO.004.061.3:DATAIN.2 GOUT.004.061.0008
GPIO.004.061.3:DATAIN.3 GOUT.004.061.0018
GPIO.004.061.3:DATAOUT.0 GIN.004.061.0002
GPIO.004.061.3:DATAOUT.1 GIN.004.061.0003
GPIO.004.061.3:DATAOUT.2 GIN.004.061.0004
GPIO.004.061.3:DATAOUT.3 GIN.004.061.0005
GPIO.004.061.3:DATAOUT.4 GIN.004.061.0006
GPIO.004.061.3:OEIN.0 GOUT.004.061.0002
GPIO.004.061.3:OEIN.1 GOUT.004.061.0019
GPIO.004.061.3:BSLIPMAX GIN.004.061.0001
GPIO.004.061.3:CEIN GOUT.004.061.0005
GPIO.004.061.3:CEOUT GOUT.004.061.0004
GPIO.004.061.3:ACLR GOUT.004.061.0012
GPIO.004.061.3:SCLR GOUT.004.061.0001
GPIO.004.061.3:CLKIN_IN.0 DCMUX.004.061.0004
GPIO.004.061.3:CLKIN_IN.1 DCMUX.004.061.0006
GPIO.004.061.3:CLKIN_OUT.0 DCMUX.004.061.0000
GPIO.004.061.3:CLKIN_OUT.1 DCMUX.004.061.0002
GPIO.006.000.0:DATAIN.0 GOUT.006.000.0044
GPIO.006.000.0:DATAIN.1 GOUT.006.000.0034
GPIO.006.000.0:DATAIN.2 GOUT.006.000.0043
GPIO.006.000.0:DATAIN.3 GOUT.006.000.0029
GPIO.006.000.0:DATAOUT.0 GIN.006.000.0018
GPIO.006.000.0:DATAOUT.1 GIN.006.000.0017
GPIO.006.000.0:DATAOUT.2 GIN.006.000.0016
GPIO.006.000.0:DATAOUT.3 GIN.006.000.0015
GPIO.006.000.0:DATAOUT.4 GIN.006.000.0014
GPIO.006.000.0:OEIN.0 GOUT.006.000.0038
GPIO.006.000.0:OEIN.1 GOUT.006.000.0030
